PRODUCTO ,PRECIO ANTERIOR,PRECIO ACTUAL
Limpiador de manos spray 30 ml,$42.00,$55.00
Desodorante spray 15 ml,$45.00,$45.00
Roll on con aloe vera 30 ml,$56.00,$60.00
Roll on teens con aroma 30 ml,$66.00,$70.00
Jabon natural arbol de te 100 g,$68.00,$75.00
Limpiador de manos spray 240 ml,$90.00,$90.00
Roll on unisex 90 ml,$115.00,$120.00
Roll on teens 90 ml,$115.00,$125.00
Roll on for men 90 ml,$115.00,$125.00
Roll on sport 90 ml,$120.00,$130.00
Spray para pies 240 ml,$130.00,$130.00
Pack Duo Stick + Spray,$130.00,$130.00
Spray corporal 240 ml,$131.00,$135.00
Eco recargable 80 g,$163.00,$165.00
Stick natural 60 g,$189.00,$200.00
Kit eco viajero,$207.00,$220.00
Stick natural 120 g,$275.00,$285.00
